iter	Passed	Remaining
419	2903	4009
420	2908	3999
421	2910	3986
422	2917	3980
423	2923	3971
424	2926	3959
425	2931	3950
426	2934	3937
427	2940	3930
428	2947	3923
429	2955	3918
430	2962	3910
431	2971	3907
432	2989	3915
433	3001	3913
434	3021	3924
435	3042	3935
436	3052	3933
437	3065	3933
438	3075	3930
439	3084	3925
440	3090	3917
441	3094	3906
442	3097	3895
443	3103	3886
444	3112	3881
445	3120	3875
446	3127	3869
447	3130	3857
448	3140	3853
449	3147	3846
450	3154	3839
451	3158	3829
452	3161	3817
453	3171	3814
454	3176	3805
455	3184	3799
456	3189	3790
457	3196	3782
458	3201	3773
459	3207	3764
460	3210	3754
461	3223	3753
462	3226	3742
463	3235	3738
464	3240	3728
465	3243	3716
466	3250	3709
467	3256	3701
468	3259	3690
469	3263	3679
470	3269	3672
471	3275	3664
472	3282	3657
473	3288	3649
474	3291	3638
475	3296	3629
476	3302	3621
477	3304	3609
478	3312	3603
479	3317	3594
480	3325	3588
481	3331	3580
482	3338	3573
483	3344	3565
484	3351	3558
485	3357	3550
486	3364	3544
487	3371	3536
488	3378	3530
489	3385	3523
490	3391	3515
491	3399	3510
492	3407	3504
493	3413	3496
494	3421	3490
495	3437	3493
496	3447	3488
497	3450	3477
498	3453	3466
499	3471	3471
500	3479	3465
501	3487	3459
502	3497	3455
503	3504	3449
504	3514	3444
505	3523	3439
506	3526	3429
507	3534	3422
508	3540	3415
509	3555	3415
510	3563	3410
511	3573	3406
512	3587	3405
513	3601	3405
514	3609	3399
515	3619	3395
516	3636	3397
517	3645	3391
518	3659	3391
519	3669	3387
520	3685	3388
521	3694	3383
522	3701	3375
523	3705	3365
524	3717	3363
525	3724	3356
526	3728	3346
527	3737	3341
528	3746	3335
529	3760	3334
530	3762	3323
531	3772	3318
532	3779	3311
533	3785	3303
534	3793	3297
535	3798	3287
536	3807	3282
537	3815	3276
538	3824	3270
539	3833	3265
540	3836	3255
541	3842	3247
542	3847	3237
543	3856	3232
544	3871	3232
545	3881	3227
546	3892	3223
547	3906	3222
548	3930	3228
549	3941	3224
550	3961	3228
551	3970	3222
552	3985	3221
553	3991	3213
554	3994	3202
555	4001	3195
556	4010	3189
557	4019	3183
558	4032	3181
559	4041	3175
560	4049	3168
561	4063	3167
562	4070	3159
563	4072	3148
564	4080	3141
565	4088	3135
566	4097	3129
567	4110	3126
568	4122	3122
569	4133	3118
570	4136	3107
571	4139	3097
572	4152	3094
573	4162	3088
574	4172	3083
575	4179	3076
576	4189	3071
577	4200	3066
578	4208	3059
579	4211	3049
580	4226	3048
581	4242	3046
582	4252	3041
583	4262	3035
584	4271	3030
585	4280	3024
586	4296	3022
587	4305	3016
588	4308	3006
589	4327	3007
590	4352	3012
591	4364	3008
592	4388	3011
593	4406	3011
594	4416	3006
595	4423	2998
596	4440	2997
597	4455	2995
598	4467	2990
599	4509	3006
600	4521	3001
601	4542	3003
602	4553	2997
603	4563	2991
604	4581	2991
605	4590	2984
606	4601	2979
607	4612	2974
608	4622	2968
609	4633	2962
610	4639	2953
611	4646	2945
612	4668	2947
613	4681	2943
614	4693	2938
615	4696	2927
616	4705	2921
617	4715	2914
618	4729	2911
619	4737	2903
620	4744	2895
621	4748	2885
622	4751	2875
623	4756	2866
624	4762	2857
625	4778	2854
626	4781	2844
627	4790	2837
628	4799	2830
629	4808	2824
630	4826	2822
631	4838	2817
632	4859	2817
633	4870	2811
634	4890	2810
635	4902	2805
636	4918	2802
637	4927	2796
638	4954	2799
639	4965	2793
640	4968	2782
641	4972	2773
642	4979	2764
643	4989	2758
644	5008	2756
645	5029	2756
646	5046	2753
647	5061	2749
648	5064	2738
649	5075	2732
650	5080	2723
651	5083	2713
652	5088	2703
653	5102	2699
654	5116	2694
655	5126	2688
656	5134	2680
657	5144	2673
658	5154	2667
659	5167	2662
660	5174	2653
661	5183	2646
662	5191	2638
663	5208	2635
664	5217	2628
665	5226	2621
666	5236	2614
667	5250	2609
668	5260	2602
669	5262	2592
670	5274	2586
671	5284	2579
672	5294	2572
673	5300	2563
674	5309	2556
675	5320	2550
676	5331	2543
677	5339	2535
678	5348	2528
679	5369	2526
680	5385	2522
681	5397	2516
682	5407	2509
683	5426	2506
684	5429	2496
685	5446	2493
686	5456	2485
687	5473	2482
688	5482	2474
689	5494	2468
690	5515	2466
691	5524	2458
692	5527	2448
693	5530	2438
694	5537	2430
695	5540	2420
696	5546	2411
697	5553	2402
698	5556	2392
699	5569	2386
700	5575	2378
701	5580	2369
702	5596	2364
703	5619	2362
704	5633	2357
